Variable,N,Mean,Std,Minimum,Maximum,Median
Attitude change (absolute),1790,0.7027932960893875,1.011362510268675,0,6,0
Attitude change (signed),1790,0.030167597765362993,1.2313155720017062,-6,6,0
Knowledge change,1790,0.28324022346368455,0.7874778805499479,-3,3,0
Topic-relevant uptake (0/1),1790,0.2111731843575419,0.4082550471427443,0,1,0
Topic-relevant visits,1790,0.8793296089385475,2.629532494152432,0,41,0
Time on topic (s),1790,62.018435754189845,233.62268911069242,0,5027,0
Encountered quality,198,0.7380865972565258,0.12372850274057083,0.375092718623257,0.9323032830864161,0.705615416775709
Habitual quality (overall),1750,0.6318893996599103,0.10599654630850704,0.37969803987146183,0.9260125374492968,0.6610501538896842
Habitual quality (corrected news),1691,0.7127040529726549,0.06423654150855618,0.3044403047209366,0.932303283086416,0.7110397652600247
Baseline attitude,1790,4.740782122905023,1.9212737566456661,1,7,5
Political knowledge,1790,0.5989484061781137,0.20732115319071354,0,0.9411764705882353,0.6470588235294118
Political interest,1790,3.4262569832402234,1.0874984298769086,1,5,3
Online news use (days/week),1790,4.728491620111733,2.826257040368148,0,8,5
Age,1790,48.9,12.135878280675657,18,78,50
