Topic,Variant,Term,Estimate,SE,CI low,CI high,p,Sig,N,First-stage F
Cannabis,news,Low group,1.654,0.407,0.855,2.452,0,***,468,6.61
Cannabis,news,Interaction,-0.292,0.752,-1.766,1.182,0.698,,468,6.61
Cannabis,news_corrected,Low group,1.812,0.553,0.729,2.895,0.001,**,536,11.04
Cannabis,news_corrected,Interaction,-0.391,0.693,-1.749,0.967,0.573,,536,11.04
Cannabis,overall,Low group,1.325,0.406,0.529,2.121,0.001,**,554,7.51
Cannabis,overall,Interaction,0.773,0.716,-0.63,2.176,0.281,,554,7.51
Child support,news,Low group,2.016,0.429,1.176,2.857,0,***,465,17.92
Child support,news,Interaction,-0.383,0.577,-1.515,0.749,0.507,,465,17.92
Child support,news_corrected,Low group,2.713,0.555,1.625,3.801,0,***,528,21.47
Child support,news_corrected,Interaction,-1.267,0.662,-2.565,0.03,0.056,+,528,21.47
Child support,overall,Low group,1.823,0.422,0.996,2.651,0,***,547,21.27
Child support,overall,Interaction,-0.018,0.552,-1.101,1.064,0.974,,547,21.27
Energy transition,news,Low group,1.17,0.44,0.307,2.033,0.008,**,467,9.61
Energy transition,news,Interaction,-0.091,0.592,-1.251,1.069,0.878,,467,9.61
Energy transition,news_corrected,Low group,1.278,0.413,0.469,2.088,0.002,**,531,10.97
Energy transition,news_corrected,Interaction,-0.351,0.555,-1.439,0.737,0.528,,531,10.97
Energy transition,overall,Low group,1.38,0.499,0.402,2.358,0.006,**,549,11.12
Energy transition,overall,Interaction,-0.598,0.609,-1.791,0.595,0.326,,549,11.12
